trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.4, 'e': -0.29000000000000087}",25,20,9.158954743581432,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': -0.3000000000000009}",20,13,14.088920932739287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': -0.3100000000000009}",25,16,16.286717722907383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': -0.3200000000000009}",25,16,12.7302528789916,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': -0.3300000000000009}",35,24,21.97746287699953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': -0.3400000000000009}",20,11,19.58032128812007,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': -0.3500000000000009}",20,10,15.260220175131185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': -0.36000000000000093}",20,10,19.58664887180283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': -0.37000000000000094}",35,21,27.65869706676614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': -0.38000000000000095}",25,4,31.25291212480608,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.4, 'e': -0.39000000000000096}",20,1,28.594034534031973,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.4, 'e': -0.40000000000000097}",25,13,21.051272670049755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.4, 'e': -0.410000000000001}",20,8,25.75570199408977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': -0.420000000000001}",35,21,27.51943454624226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.4, 'e': -0.430000000000001}",30,13,31.890347105515623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': -0.440000000000001}",25,16,16.656454713318727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': -0.450000000000001}",25,16,15.654527504530195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4, 'e': -0.460000000000001}",30,20,22.4888102010982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': -0.47000000000000103}",25,14,-19.209735977439195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.4, 'e': -0.48000000000000104}",20,8,25.440671967341345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': -0.49000000000000105}",20,7,22.720807594521357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': -0.500000000000001}",20,15,8.156941533916518,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': -0.510000000000001}",35,23,23.124187748384653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.4, 'e': -0.520000000000001}",20,2,33.38339603651475,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': -0.530000000000001}",25,17,16.651437783322223,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
